RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
53322222,20230503,M,30대,서울특별시,300이상500만원 미만,스트레스 해소를 위해,가족-지인 등과 시간을 보내기 위해,2,3,30,40,20,10,0,골프 직접 하기,국내 프로스포츠 영상 시청,산책-걷기,종교활동,국내 프로스포츠 현장 관람
53322236,20230503,F,40대,서울특별시,700만원 이상,대인 관계-교제를 위해,마음의 안정-휴식을 위해,1,3,0,0,50,50,0,영상 컨텐츠 시청,수다-잡담하기,쇼핑,독서,없음
53322268,20230503,F,50대,서울특별시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,대인 관계-교제를 위해,10,12,80,0,0,20,0,쇼핑,영상 컨텐츠 시청,국내 여행,계모임-동창회-사교모임,산책-걷기
53322911,20230503,M,40대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,1,5,40,20,20,20,0,보드게임-퍼즐-바둑-장기-체스 등,가족-친지 만남,산책-걷기,맛집-카페 탐방,게임
53322912,20230503,F,60대,제주특별자치도,700만원 이상,대인 관계-교제를 위해,남는 시간을 보내기 위해,10,10,70,10,10,5,5,쇼핑,수다-잡담하기,온천-사우나-찜질방,산책-걷기,계모임-동창회-사교모임
53322914,20230503,F,50대,서울특별시,300만원 미만,자기만족-즐거움을 위해,건강 관리를 위해,1,1,0,0,50,50,0,요리-베이킹,없음,없음,없음,없음
53322930,20230503,M,60대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,5,15,100,0,0,0,0,액티비티-체험,없음,없음,없음,없음
53322984,20230503,F,60대,서울특별시,300만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,2,6,20,0,60,20,0,축제 참가,줄넘기-맨손체조-스트레칭 직접 하기,없음,없음,없음
53323104,20230503,F,40대,서울특별시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,2,3,10,10,50,30,0,산책-걷기,음악-라디오 감상,없음,없음,없음
53323105,20230503,F,60대,서울특별시,300만원 미만,건강 관리를 위해,없음,8,8,20,30,20,30,0,사회봉사활동,가족-친지 만남,걷기-속보-조깅 직접 하기,헬스-보디빌딩 직접 하기,계모임-동창회-사교모임
53323255,20230503,F,60대,서울특별시,700만원 이상,마음의 안정-휴식을 위해,건강 관리를 위해,2,2,10,10,50,30,0,산책-걷기,걷기-속보-조깅 직접 하기,수다-잡담하기,가족-친지 만남,신문-잡지보기
53323332,20230503,M,60대,서울특별시,300만원 미만,가족-지인 등과 시간을 보내기 위해,대인 관계-교제를 위해,2,5,50,30,0,20,0,국내 여행,없음,없음,없음,없음
53323649,20230503,M,20대,서울특별시,500이상700만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해,3,8,50,0,0,50,0,영상 컨텐츠 시청,음악-라디오 감상,친구-이성친구 만남,맛집-카페 탐방,쇼핑
53323746,20230503,F,60대,서울특별시,700만원 이상,건강 관리를 위해,자기만족-즐거움을 위해,5,2,60,40,0,0,0,산책-걷기,사진 촬영,영상 컨텐츠 시청,쇼핑,헬스-보디빌딩 직접 하기
53323783,20230503,M,60대,서울특별시,300이상500만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해,1,4,30,70,0,0,0,등산 직접 하기,걷기-속보-조깅 직접 하기,없음,없음,없음
53324262,20230503,M,50대,서울특별시,700만원 이상,마음의 안정-휴식을 위해,대인 관계-교제를 위해,3,16,80,0,0,20,0,영상 컨텐츠 제작,맛집-카페 탐방,계모임-동창회-사교모임,걷기-속보-조깅 직접 하기,수다-잡담하기
53324298,20230503,M,50대,서울특별시,300이상500만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해,1,2,40,50,0,10,0,영상 컨텐츠 시청,줄넘기-맨손체조-스트레칭 직접 하기,걷기-속보-조깅 직접 하기,SNS -인터넷 커뮤니티 활동,쇼핑
53324378,20230503,F,30대,서울특별시,300이상500만원 미만,스트레스 해소를 위해,자기만족-즐거움을 위해,2,4,20,10,5,65,0,종교활동,영화관 관람,게임,드라이브,해외여행
53324870,20230503,F,30대,부산광역시,300이상500만원 미만,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,3,5,40,0,10,50,0,종교활동,수다-잡담하기,요리-베이킹,반려동물 돌보기,없음
53325006,20230503,M,40대,서울특별시,300만원 미만,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해,3,6,10,40,20,30,0,헬스-보디빌딩 직접 하기,산책-걷기,게임,온천-사우나-찜질방,요리-베이킹
53325079,20230503,M,60대,서울특별시,300만원 미만,자기만족-즐거움을 위해,건강 관리를 위해,2,4,0,30,40,30,0,어학-기술-자격증 취득,온천-사우나-찜질방,음주-유흥,맛집-카페 탐방,등산 직접 하기
53325107,20230503,F,60대,서울특별시,300만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해,2,6,5,20,30,40,5,산책-걷기,요리-베이킹,해외여행,국내 여행,영화관 관람
53325147,20230503,F,60대,서울특별시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,대인 관계-교제를 위해,2,2,20,30,10,20,20,수다-잡담하기,낮잠자기,음악-라디오 감상,없음,없음
53325523,20230503,F,40대,경기도,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,3,6,50,0,10,40,0,산책-걷기,독서,종교활동,쇼핑,국내 여행
53325868,20230503,F,20대,경기도,300이상500만원 미만,스트레스 해소를 위해,건강 관리를 위해,1,0,0,100,0,0,0,요리-베이킹,없음,없음,없음,없음
53325888,20230503,M,40대,제주특별자치도,300이상500만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해,2,5,30,40,10,20,0,헬스-보디빌딩 직접 하기,걷기-속보-조깅 직접 하기,드라이브,등산 직접 하기,국내 여행
53326358,20230503,F,50대,부산광역시,300이상500만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해,1,4,30,0,20,50,0,쇼핑,국내 여행,산책-걷기,독서,친구-이성친구 만남
53326588,20230503,M,60대,인천광역시,300이상500만원 미만,건강 관리를 위해,스트레스 해소를 위해,1,1,20,30,30,20,0,국내 여행,없음,없음,없음,없음
53326805,20230503,M,50대,경기도,700만원 이상,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해,4,8,30,30,10,30,0,골프 직접 하기,쇼핑,해외여행,영상 컨텐츠 시청,맛집-카페 탐방
53326820,20230503,M,30대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,없음,0,6,0,100,0,0,0,영상 컨텐츠 시청,영화관 관람,없음,없음,없음
53326857,20230503,M,30대,경기도,300이상500만원 미만,대인 관계-교제를 위해,가족-지인 등과 시간을 보내기 위해,8,4,60,0,0,40,0,수다-잡담하기,게임,가족-친지 만남,없음,없음
53326900,20230503,M,60대,부산광역시,300이상500만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해,4,12,40,0,0,20,40,산책-걷기,등산 직접 하기,해외 프로스포츠 영상 시청,친구-이성친구 만남,낚시
53326903,20230503,M,60대,부산광역시,300이상500만원 미만,자기 계발을 위해,없음,6,6,50,0,0,50,0,친구-이성친구 만남,산책-걷기,낮잠자기,계모임-동창회-사교모임,맛집-카페 탐방
53326929,20230503,M,40대,광주광역시,700만원 이상,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,2,8,100,0,0,0,0,국내 프로스포츠 영상 시청,해외 프로스포츠 영상 시청,줄넘기-맨손체조-스트레칭 직접 하기,쇼핑,독서
53327036,20230503,M,20대,경기도,300만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,5,15,40,10,20,30,0,친구-이성친구 만남,게임,어학-기술-자격증 취득,라켓스포츠 직접 하기,e스포츠 영상 시청
53327084,20230503,M,20대,서울특별시,300이상500만원 미만,스트레스 해소를 위해,대인 관계-교제를 위해,3,12,30,10,10,50,0,독서,수다-잡담하기,친구-이성친구 만남,산책-걷기,영상 컨텐츠 시청
53327211,20230503,M,20대,부산광역시,무응답,건강 관리를 위해,스트레스 해소를 위해,4,6,60,40,0,0,0,게임,수영 직접 하기,기타 자기계발-자기관리,국내 프로스포츠 영상 시청,없음
53327433,20230503,M,50대,부산광역시,500이상700만원 미만,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,2,2,50,10,20,20,0,영상 컨텐츠 시청,없음,없음,없음,없음
53327529,20230503,F,30대,부산광역시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,3,7,40,10,10,40,0,쇼핑,낮잠자기,맛집-카페 탐방,테마파크-시설 방문,영상 컨텐츠 시청
53327701,20230503,M,20대,강원도,500이상700만원 미만,자기만족-즐거움을 위해,없음,2,12,50,20,10,20,0,게임,드라이브,소풍-피크닉,가족-친지 만남,친구-이성친구 만남
53327705,20230503,M,40대,전라남도,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,건강 관리를 위해,2,4,40,20,0,40,0,캠핑-차박,가족-친지 만남,친구-이성친구 만남,없음,없음
53327711,20230503,M,50대,강원도,700만원 이상,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,4,8,30,40,0,30,0,영화관 관람,국내 여행,쇼핑,줄넘기-맨손체조-스트레칭 직접 하기,가족-친지 만남
53327919,20230503,F,50대,경기도,300만원 미만,스트레스 해소를 위해,자기만족-즐거움을 위해,2,1,0,0,50,50,0,미술관-전시관 관람,독서,산책-걷기,없음,없음
53327923,20230503,F,50대,서울특별시,500이상700만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,5,5,30,10,30,30,0,생활공예-원예,종교활동,미용,독서,영상 컨텐츠 시청
53327927,20230503,M,50대,충청남도,700만원 이상,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,4,10,70,0,10,20,0,국내 프로스포츠 영상 시청,낮잠자기,해외 프로스포츠 영상 시청,친구-이성친구 만남,국내 여행
53328150,20230503,M,40대,전라남도,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해,2,6,40,0,40,20,0,독서,영상 컨텐츠 시청,온천-사우나-찜질방,연극-뮤지컬 관람,영화관 관람
53328247,20230503,M,40대,인천광역시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,건강 관리를 위해,3,6,10,30,10,50,0,걷기-속보-조깅 직접 하기,독서,어학-기술-자격증 취득,자전거-싸이클-산악자전거 직접 타기,SNS -인터넷 커뮤니티 활동
